family,family_name,converter_id,converter_name,public_label,display_order,speed_ratio,k_factor,torque_ratio,status,customer_visible
245,245,245-245-1e,245 1E,245 1E,7,0.6,232.47,1.304,published,true
245,245,245-245-1e,245 1E,245 1E,8,0.7,247.06,1.212,published,true
245,245,245-245-1e,245 1E,245 1E,9,0.8,263.07,1.096,published,true
245,245,245-245-1e,245 1E,245 1E,10,0.85,271.46,1.049,published,true
245,245,245-245-1e,245 1E,245 1E,11,0.9,291.73,0.98,published,true
245,245,245-245-1e,245 1E,245 1E,12,0.92,304.48,0.953,published,true
245,245,245-245-1e,245 1E,245 1E,13,0.95,348.75,0.919,published,true
245,245,245-245-1f,245 1F,245 1F,1,0.0,147.51,1.768,published,true
245,245,245-245-1f,245 1F,245 1F,2,0.1,150.84,1.687,published,true
245,245,245-245-1f,245 1F,245 1F,3,0.2,157.19,1.626,published,true
245,245,245-245-1f,245 1F,245 1F,4,0.3,163.03,1.556,published,true
245,245,245-245-1f,245 1F,245 1F,5,0.4,170.22,1.483,published,true
245,245,245-245-1f,245 1F,245 1F,6,0.5,179.72,1.396,published,true
245,245,245-245-1f,245 1F,245 1F,7,0.6,189.78,1.303,published,true
245,245,245-245-1f,245 1F,245 1F,8,0.7,204.81,1.204,published,true
245,245,245-245-1f,245 1F,245 1F,9,0.8,220.34,1.098,published,true
245,245,245-245-1f,245 1F,245 1F,10,0.85,232.99,1.037,published,true
245,245,245-245-1f,245 1F,245 1F,11,0.9,251.64,0.983,published,true
245,245,245-245-1f,245 1F,245 1F,12,0.92,262.29,0.961,published,true
245,245,245-245-1f,245 1F,245 1F,13,0.95,283.37,0.905,published,true
245,245,245-245-2a,245 2A,245 2A,1,0.0,159.84,1.767,published,true
245,245,245-245-2a,245 2A,245 2A,2,0.1,160.57,1.7,published,true
245,245,245-245-2a,245 2A,245 2A,3,0.2,161.88,1.615,published,true
245,245,245-245-2a,245 2A,245 2A,4,0.3,162.2,1.534,published,true
245,245,245-245-2a,245 2A,245 2A,5,0.4,163.25,1.465,published,true
245,245,245-245-2a,245 2A,245 2A,6,0.5,168.2,1.365,published,true
245,245,245-245-2a,245 2A,245 2A,7,0.6,175.74,1.265,published,true
245,245,245-245-2a,245 2A,245 2A,8,0.7,185.22,1.165,published,true
245,245,245-245-2a,245 2A,245 2A,9,0.8,200.72,1.056,published,true
245,245,245-245-2a,245 2A,245 2A,10,0.85,213.63,1.011,published,true
245,245,245-245-2a,245 2A,245 2A,11,0.9,237.91,0.964,published,true
245,245,245-245-2a,245 2A,245 2A,12,0.92,258.24,0.939,published,true
245,245,245-245-2a,245 2A,245 2A,13,0.95,335.54,0.878,published,true
245,245,245-245-2b,245 2B,245 2B,1,0.0,181.29,1.963,published,true
245,245,245-245-2b,245 2B,245 2B,2,0.1,182.64,1.87,published,true
245,245,245-245-2b,245 2B,245 2B,3,0.2,183.34,1.777,published,true
245,245,245-245-2b,245 2B,245 2B,4,0.3,189.62,1.683,published,true
245,245,245-245-2b,245 2B,245 2B,5,0.4,195.75,1.575,published,true
245,245,245-245-2b,245 2B,245 2B,6,0.5,203.82,1.461,published,true
245,245,245-245-2b,245 2B,245 2B,7,0.6,213.3,1.347,published,true
245,245,245-245-2b,245 2B,245 2B,8,0.7,226.45,1.233,published,true
245,245,245-245-2b,245 2B,245 2B,9,0.8,244.52,1.113,published,true
245,245,245-245-2b,245 2B,245 2B,10,0.85,255.49,1.044,published,true
245,245,245-245-2b,245 2B,245 2B,11,0.9,270.47,0.992,published,true
245,245,245-245-2b,245 2B,245 2B,12,0.92,277.91,0.962,published,true
245,245,245-245-2b,245 2B,245 2B,13,0.95,312.12,0.915,published,true
245,245,245-245-2c,245 2C,245 2C,1,0.0,188.55,1.715,published,true
245,245,245-245-2c,245 2C,245 2C,2,0.1,187.59,1.665,published,true
245,245,245-245-2c,245 2C,245 2C,3,0.2,190.65,1.644,published,true
245,245,245-245-2c,245 2C,245 2C,4,0.3,189.78,1.574,published,true
245,245,245-245-2c,245 2C,245 2C,5,0.4,191.73,1.497,published,true
245,245,245-245-2c,245 2C,245 2C,6,0.5,191.52,1.425,published,true
245,245,245-245-2c,245 2C,245 2C,7,0.6,197.0,1.321,published,true
245,245,245-245-2c,245 2C,245 2C,8,0.7,211.98,1.238,published,true
245,245,245-245-2c,245 2C,245 2C,9,0.8,228.87,1.122,published,true
245,245,245-245-2c,245 2C,245 2C,10,0.85,238.73,1.068,published,true
245,245,245-245-2c,245 2C,245 2C,11,0.9,249.92,1.009,published,true
